facility_name,facility_type_code,facility_type,address,city,zip_code,county,latitude,longitude,trauma_center_flag,fips_county_code,is_primary_care,is_hospital,is_emergency_department_proxy,has_valid_coordinates
SOUTH CENTRAL FAMILY DENTAL & MEDICAL,COMTYC,PRIMARY CARE CLINIC,"4415 S CENTRAL AVE, SUITE 100",LOS ANGELES,90011,Los Angeles,34.00344,-118.2567645,,6037,True,False,False,True
SOUTH CENTRAL FAMILY HEALTH CENTER,COMTYC,PRIMARY CARE CLINIC,4425 S CENTRAL AVE,LOS ANGELES,90011,Los Angeles,34.003062,-118.256769,,6037,True,False,False,True
SOUTH CENTRAL FAMILY HEALTH CENTER - VERNON,COMTYC,PRIMARY CARE CLINIC,1028 E VERNON AVE,LOS ANGELES,90011,Los Angeles,34.003683,-118.25757,,6037,True,False,False,True
"SOUTH COAST SURGERY CENTER, INC",ASC,SURGICAL CLINIC,"2621 ZOE AVE, UNIT 1B",HUNTINGTON PARK,90255,Los Angeles,33.97950399,-118.224309,,6037,False,False,False,True
"SOUTH GATE AMBULATORY SURGERY CENTER, LLC",ASC,SURGICAL CLINIC,3425 FIRESTONE BLVD,SOUTH GATE,90280,Los Angeles,33.954651,-118.2077505,,6037,False,False,False,True
SOUTH GATE COMMUNITY CLINIC,COMTYC,PRIMARY CARE CLINIC,"5720 IMPERIAL HWY, UNIT N-O",SOUTH GATE,90280,Los Angeles,33.929145,-118.1690415,,6037,True,False,False,True
SOUTH GATE DIALYSIS,ESRD/CDC,CHRONIC DIALYSIS CLINIC,9848 ATLANTIC AVENUE,SOUTH GATE,90280,Los Angeles,33.94209957,-118.1812638,,6037,False,False,False,True
SOUTH GATE P.T. AND SPORTS MEDICINE CENTER,OPT/SP,REHABILITATION CLINIC,4067 TWEEDY BLVD,SOUTH GATE,90280,Los Angeles,33.943923,-118.2004335,,6037,False,False,False,True
SOUTH MEDICAL CLINIC,COMTYC,PRIMARY CARE CLINIC,1126 E SOUTH ST,LONG BEACH,90805,Los Angeles,33.859845,-118.1785005,,6037,True,False,False,True
SOUTH PASADENA CARE CENTER,SNF,SKILLED NURSING FACILITY,904 MISSION ST,SOUTH PASADENA,91030,Los Angeles,34.116129,-118.1581065,,6037,False,False,False,True
SOUTH VALLEY DIALYSIS,ESRD/CDC,CHRONIC DIALYSIS CLINIC,"17815 VENTURA BLVD, SUITE 100",ENCINO,91316,Los Angeles,34.16328,-118.5207705,,6037,False,False,False,True
"SOUTH VALLEY HOSPICE SERVICES, INC.",HOSPICE,HOSPICE,"30851 AGOURA RD, SUITE 105",AGOURA HILLS,91301,Los Angeles,34.145505,-118.7928675,,6037,False,False,False,True
SOUTHERN CALIFORNIA HEAD & NECK SURGERY CENTER,ASC,SURGICAL CLINIC,"1301 20TH ST, SUITE 300",SANTA MONICA,90404,Los Angeles,34.029981,-118.480995,,6037,False,False,False,True
SOUTHERN CALIFORNIA HOSPITAL,SNF,SKILLED NURSING FACILITY,3828 DELMAS TER,CULVER CITY,90232,Los Angeles,34.023222,-118.3969305,,6037,False,False,False,True
SOUTHERN CALIFORNIA HOSPITAL AT CULVER CITY,GACH,GENERAL ACUTE CARE HOSPITAL,3828 DELMAS TER,CULVER CITY,90232,Los Angeles,34.023222,-118.3969305,,6037,False,True,True,True
SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD,GACH,GENERAL ACUTE CARE HOSPITAL,6245 DE LONGPRE AVE,LOS ANGELES,90028,Los Angeles,34.096311,-118.325079,,6037,False,True,True,True
SOUTHERN CALIFORNIA HOSPITAL AT VAN NUYS D/P APH,APH,ACUTE PSYCHIATRIC HOSPITAL,14433 EMELITA ST,VAN NUYS,91401,Los Angeles,34.176816,-118.447677,,6037,False,True,False,True
SOUTHERN CALIFORNIA MEDICAL CENTER - EL MONTE,COMTYC,PRIMARY CARE CLINIC,"12100 VALLEY BLVD, SUITE 109A",EL MONTE,91732,Los Angeles,34.06086,-118.016667,,6037,True,False,False,True
SOUTHERN CALIFORNIA MEDICAL CENTER - LONG BEACH,COMTYC,PRIMARY CARE CLINIC,1627 E ANAHEIM ST,LONG BEACH,90813,Los Angeles,33.782913,-118.171287,,6037,True,False,False,True
SOUTHERN CALIFORNIA MEDICAL CENTER - MOBILE UNIT 1,COMTYC,PRIMARY CARE CLINIC,314 W ARROW HWY,SAN DIMAS,91773,Los Angeles,34.102667,-117.811776,,6037,True,False,False,True
SOUTHERN CALIFORNIA MEDICAL CENTER - MOBILE UNIT 2,COMTYC,PRIMARY CARE CLINIC,14550 HAYNES ST,VAN NUYS,91411,Los Angeles,34.18953398,-118.450649,,6037,True,False,False,True
SOUTHERN CALIFORNIA MEDICAL CENTER - PICO RIVERA,COMTYC,PRIMARY CARE CLINIC,8825 WHITTIER BLVD,PICO RIVERA,90660,Los Angeles,34.001973,-118.08459,,6037,True,False,False,True
SOUTHERN CALIFORNIA MEDICAL CENTER - POMONA,COMTYC,PRIMARY CARE CLINIC,502 W HOLT AVE,POMONA,91768,Los Angeles,34.061994,-117.7570845,,6037,True,False,False,True
SOUTHERN CALIFORNIA MEDICAL CENTER - SAN DIMAS,COMTYC,PRIMARY CARE CLINIC,314 W ARROW HWY,SAN DIMAS,91773,Los Angeles,34.102692,-117.811836,,6037,True,False,False,True
SOUTHERN CALIFORNIA MEDICAL CENTER - VAN NUYS,COMTYC,PRIMARY CARE CLINIC,14550 HAYNES ST.,"VAN NUYS, CA",91411,Los Angeles,34.189515,-118.4505435,,6037,True,False,False,True
SOUTHERN CALIFORNIA MEDICAL CENTER INC. - EL MONTE 2,COMTYC,PRIMARY CARE CLINIC,"12100 VALLEY BLVD, SUITE 112",EL MONTE,91732,Los Angeles,34.060968,-118.0166985,,6037,True,False,False,True
SOUTHERN CALIFORNIA MEDICAL CENTER INC. - WOODLAND HILLS,COMTYC,PRIMARY CARE CLINIC,20011 VENTURA BLVD,WOODLAND HILLS,91364,Los Angeles,34.1720271,-118.5713577,,6037,True,False,False,True
SOUTHERN CALIFORNIA STONE CENTER,ASC,SURGICAL CLINIC,"5400 BALBOA BLVD, SUITE 111",ENCINO,91316,Los Angeles,34.16928599,-118.500521,,6037,False,False,False,True
SOUTHERN CALIFORNIA STONE CENTER,ASC,SURGICAL CLINIC,15233 VENTURA BLVD,SHERMAN OAKS,91403,Los Angeles,34.153803,-118.46502,,6037,False,False,False,True
SOUTHERN CALIFORNIA SURGERY CENTER,ASC,SURGICAL CLINIC,"2621 ZOE AVE, SUITE B",HUNTINGTON PARK,90255,Los Angeles,33.979491,-118.2243015,,6037,False,False,False,True
SOUTHLAND,SNF,SKILLED NURSING FACILITY,11701 STUDEBAKER RD,NORWALK,90650,Los Angeles,33.9264,-118.1000115,,6037,False,False,False,True
SOUTHLAND HOME HEALTH INC,HHA,HOME HEALTH AGENCY,"3151 CAHUENGA BLVD, SUITE 305",LOS ANGELES,90068,Los Angeles,34.127685,-118.3466385,,6037,False,False,False,True
SOUTHLAND HOSPICE INC,HOSPICE,HOSPICE,12295 OSBORNE ST,PACOIMA,91331,Los Angeles,34.265673,-118.401876,,6037,False,False,False,True
"SOUTHWEST HEALTH SERVICES, INC.",HHA,HOME HEALTH AGENCY,"1810 W BURBANK BLVD, SUITE 150B",BURBANK,91506,Los Angeles,34.180992,-118.330713,,6037,False,False,False,True
"SOUTHWEST HOSPICE CARE, INC",HOSPICE,HOSPICE,"15720 VENTURA BLVD, SUITE 406",ENCINO,91436,Los Angeles,34.155045,-118.475622,,6037,False,False,False,True
"SOVEREIGN HOME HEALTH CARE AGENCY, INC.",HHA,HOME HEALTH AGENCY,"15707 E. IMPERIAL HIGHWAY, SUITE D","LA MIRADA, CA",90638,Los Angeles,33.917607,-117.9962775,,6037,False,False,False,True
SPALDING OUTPATIENT SURGERY CENTER,ASC,SURGICAL CLINIC,"120 S SPALDING DR, SUITE 350",BEVERLY HILLS,90212,Los Angeles,34.066242,-118.4085765,,6037,False,False,False,True
SPALDING TRIANGLE SURGERY CENTER,ASC,SURGICAL CLINIC,"120 S SPALDING DR, SUITE 115",BEVERLY HILLS,90212,Los Angeles,34.066242,-118.4085765,,6037,False,False,False,True
SPARKS FAMILY CLINIC OF LONG BEACH,COMTYC,PRIMARY CARE CLINIC,"1900 LONG BEACH BLVD, SUITE 102",LONG BEACH,90806,Los Angeles,33.791823,-118.188909,,6037,True,False,False,True
SPECIAL ADULT CARE,HHA,HOME HEALTH AGENCY,"11755 VICTORY BLVD, SUITE 105",NORTH HOLLYWOOD,91606,Los Angeles,34.186842,-118.3897845,,6037,False,False,False,True
"SPECIAL CARE YOU NEED, INC",HHA,HOME HEALTH AGENCY,"1241 S GLENDALE AVE, SUITE 304C",GLENDALE,91205,Los Angeles,34.130682,-118.252791,,6037,False,False,False,True
SPECIALISTS AMBULATORY SURGERY CENTER MED. GROUP,ASC,SURGICAL CLINIC,9001 WILSHIRE BLVD,BEVERLY HILLS,90211,Los Angeles,34.067394,-118.3880115,,6037,False,False,False,True
SPECIALTY HOSPICE CARE,HOSPICE,HOSPICE,"9909 CANOGA AVE, SUITE H",CHATSWORTH,91311,Los Angeles,34.2504,-118.5974775,,6037,False,False,False,True
SPECIALTY SURGICAL CENTER,ASC,SURGICAL CLINIC,"9001 WILSHIRE BLVD, SUITE 100",BEVERLY HILLS,90211,Los Angeles,34.067394,-118.388007,,6037,False,False,False,True
"SPECIALTY SURGICAL CENTER OF ARCADIA, L.P.",ASC,SURGICAL CLINIC,"51 N 5TH AVE, SUITE 101",ARCADIA,91006,Los Angeles,34.141221,-118.020987,,6037,False,False,False,True
"SPECIALTY SURGICAL CENTER OF BEVERLY HILLS, L.P.",ASC,SURGICAL CLINIC,"8670 WILSHIRE BLVD, SUITE 300",BEVERLY HILLS,90211,Los Angeles,34.066026,-118.380843,,6037,False,False,False,True
"SPECIALTY SURGICAL CENTER OF ENCINO, L.P.",ASC,SURGICAL CLINIC,"16501 VENTURA BLVD, SUITE 103",ENCINO,91436,Los Angeles,34.15797,-118.492848,,6037,False,False,False,True
SPECTRE SENIOR SERVICES HOME HEALTH CARE,HHA,HOME HEALTH AGENCY,"12340 SANTA MONICA BLVD, SUITE 225",LOS ANGELES,90025,Los Angeles,34.0390241,-118.4682832,,6037,False,False,False,True
"SPECTRUM DIALYSIS, INC.",ESRD,CHRONIC DIALYSIS CLINIC,"18040 SHERMAN WAY, SUITE 220",RESEDA,91335,Los Angeles,34.200828,-118.5267735,,6037,False,False,False,True
"SPECTRUM HOSPICE, INC.",HOSPICE,HOSPICE,1925 W GLENOAKS BLVD,GLENDALE,91201,Los Angeles,34.174755,-118.294164,,6037,False,False,False,True
SPEEDY CARE HOME HEALTH INC,HHA,HOME HEALTH AGENCY,"14664 VICTORY BLVD, SUITE 110",VAN NUYS,91411,Los Angeles,34.186437,-118.4529375,,6037,False,False,False,True
"SPEEDY HOME CARE, INC.",HHA,HOME HEALTH AGENCY,"126 S JACKSON ST, SUITE 302A",GLENDALE,91205,Los Angeles,34.145343,-118.2497445,,6037,False,False,False,True
"SPERO HOSPICE SERVICES, INC.",HOSPICE,HOSPICE,"18341 SHERMAN WAY, SUITE 203A",RESEDA,91335,Los Angeles,34.201296,-118.533222,,6037,False,False,False,True
SPES HOME HEALTH INC,HHA,HOME HEALTH AGENCY,"22543 VENTURA BLVD, SUITE 213",WOODLAND HILLS,91364,Los Angeles,34.167879,-118.6181055,,6037,False,False,False,True
SPIKE HOME HEALTH CARE,HHA,HOME HEALTH AGENCY,"4119 W BURBANK BLVD, SUITE 135",BURBANK,91505,Los Angeles,34.17323001,-118.355467,,6037,False,False,False,True
SPIRIT HOME HEALTH,HHA,HOME HEALTH AGENCY,"425 S FAIRFAX AVE, SUITE 206",LOS ANGELES,90036,Los Angeles,34.069203,-118.3615605,,6037,False,False,False,True
SPIRIT HOME HEALTH CARE,HHA,HOME HEALTH AGENCY,"8929 S SEPULVEDA BLVD, SUITE 306",LOS ANGELES,90045,Los Angeles,33.955155,-118.3964445,,6037,False,False,False,True
"SPIRITUAL HOSPICE CARE, INC.",HOSPICE,HOSPICE,"1053 COLORADO BLVD, SUITE G1",LOS ANGELES,90041,Los Angeles,34.137585,-118.189305,,6037,False,False,False,True
"SPIRITUAL TOUCH HOSPICE, INC.",HOSPICE,HOSPICE,"2063 S ATLANTIC BLVD, SUITE 2A",MONTEREY PARK,91754,Los Angeles,34.040358,-118.14264,,6037,False,False,False,True
"SPIRITUM HOME HEALTH CARE, INC.",HHA,HOME HEALTH AGENCY,"15125 VENTURA BLVD, SUITE 2-10",SHERMAN OAKS,91403,Los Angeles,34.153371,-118.462428,,6037,False,False,False,True
SPLENDID HOME HEALTH CARE,HHA,HOME HEALTH AGENCY,"6742 VAN NUYS BLVD, SUITE 109",VAN NUYS,91405,Los Angeles,34.19343299,-118.448391,,6037,False,False,False,True
SPRING ADULT DAY HEALTH CARE,ADHC,ADULT DAY HEALTH CARE,19648 CAMINO DE ROSA,WALNUT,91789,Los Angeles,34.003415,-117.872816,,6037,False,False,False,True
SPRING GARDEN HHA,HHA,HOME HEALTH AGENCY,"303 N GLENOAKS BLVD, SUITE 218",BURBANK,91502,Los Angeles,34.184349,-118.309086,,6037,False,False,False,True
SPRING HOME HEALTH CARE,HHA,HOME HEALTH AGENCY,"511 E HARVARD ST, SUITE 4A",GLENDALE,91205,Los Angeles,34.144722,-118.249569,,6037,False,False,False,True
SPRING HOME HEALTH SERVICES,HHA,HOME HEALTH AGENCY,"6741 VAN NUYS BLVD, UNIT 251",VAN NUYS,91405,Los Angeles,34.193304,-118.449036,,6037,False,False,False,True
"SPRINGFIELD HOSPICE SERVICES, INC.",HOSPICE,HOSPICE,"9420 TOPANGA CANYON BLVD, SUITE 208",CHATSWORTH,91311,Los Angeles,34.24148301,-118.604545,,6037,False,False,False,True
SPRINGFORD HOME,ICFDDN,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,8410 SPRINGFORD DR,SUN VALLEY,91352,Los Angeles,34.222644,-118.351431,,6037,False,False,False,True
